country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LTU,1956,1,interm,1,27,32.98,1.62,0.66,0.35,0.5,0.19,0,0.49,0.26,0.24,0.59,1.02,2.79,3.01,3.98,3.79,4,3.75,2.9,2.85,.,.,.,.,.,.
LTU,1956,1,interm,1,28,40.31,1.98,0.8,0.42,0.61,0.23,0,0.59,0.32,0.3,0.72,1.25,3.41,3.68,4.87,4.63,4.89,4.59,3.54,3.49,.,.,.,.,.,.
LTU,1956,1,interm,1,29,23.15,0,0.5,0.41,0.35,0.57,0.21,0.87,0.47,0.44,1.44,2.52,2.94,3.17,1.73,1.65,1.74,1.63,1.26,1.24,.,.,.,.,.,.
LTU,1956,1,interm,1,30,71.84,0,3.87,0.53,1.52,4.49,1.85,3.37,2.72,2.51,3.82,6.7,14.07,15.18,2.1,2,2.11,1.98,1.53,1.5,.,.,.,.,.,.
LTU,1956,1,interm,1,31,35.36,0.66,2.19,0.29,0.82,2.42,1.17,0.75,1.75,1.61,1.83,3.21,4.98,5.38,1.56,1.48,1.56,1.47,1.13,1.11,.,.,.,.,.,.
LTU,1956,1,interm,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,33,65.34,0,1.8,1.59,1.31,1.1,0.84,1.3,0.91,0.84,2.71,4.74,6.85,7.39,6.38,6.06,6.4,6.01,4.59,4.5,.,.,.,.,.,.
LTU,1956,1,interm,1,34,35.8,0,0.07,0.22,0.35,0.5,0.36,1.37,0.78,0.72,1.67,2.92,6.2,6.69,2.61,2.48,2.62,2.46,1.9,1.87,.,.,.,.,.,.
LTU,1956,1,interm,1,35,15.14,0,0,0.41,0.75,1.1,2.23,1.07,0.58,0.54,0,0,0.59,0.63,1.36,1.29,1.36,1.28,0.99,0.97,.,.,.,.,.,.
LTU,1956,1,interm,1,36,0.24,0.21,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,37,16.68,10.04,0.24,0.01,0.02,0,0,0.13,0.59,0.54,0,0,0.01,0.02,0.95,0.91,0.96,0.9,0.69,0.68,.,.,.,.,.,.
LTU,1956,1,interm,1,38,33,6.93,1.1,0,0,0,0,0.01,0,0,2.34,4.1,3.19,3.44,2.22,2.11,2.23,2.1,1.62,1.59,.,.,.,.,.,.
