country,year,sex,agf,total,e0,e1,e5,e10,e15,e20,e25,e30,e35,e40,e45,e50,e55,e60,e65,e70,e75,e80,e85p,e85,e90p,e90,e95p,e95,e100p
BLR,1974,3,4,9294829.44,144249.16,576613.69,755191.67,904502.93,889403.17,743513.48,566662.27,541928.76,718762.6,693416.81,664555.1,461469.2,306697.14,400483.98,341777.36,264784.9,150696.08,94261.79,75859.35,51453.05,24406.3,18944.59,5461.71,4535.87,925.84
BLR,1975,3,4,9353332.54,145047.1,580467.99,735313.37,873714.53,898525.68,757378.96,631530.34,487370.53,726583.94,669149.62,692719.68,507418.8,303781.28,388011.76,350125.37,270160.84,162140.81,93919.29,79972.65,54002.59,25970.06,19822.46,6147.6,5100.1,1047.5
BLR,1976,3,4,9408938.28,145298.82,580530.6,725902.26,841898.17,901335.91,775480.3,682884.5,453923.58,710343.79,665390.28,708303.6,553394.11,320024.68,362277.03,356789.21,274441.68,174449.75,94123.17,82146.84,55101.46,27045.38,20308.14,6737.24,5630.9,1106.34
BLR,1977,3,4,9464633.71,146213.34,579139.81,723260.16,809498.23,900512.81,792624.87,709632.4,461293.68,670247.72,674494.43,712255.46,591115.34,358156.66,329860.57,362146.07,283428.63,182943.65,94760.39,83049.49,54868.74,28180.75,20968.65,7212.1,6052.32,1159.78
BLR,1978,3,4,9513725.16,145084.75,578700.04,724486.35,777762.33,892758.64,814018.72,719824.91,505986.51,604615.75,687778.12,701902.05,620727.27,407380.88,305890.24,365665.09,289201.28,193035.95,94970.12,83936.16,54202.86,29733.3,21994.39,7738.91,6477.45,1261.46
BLR,1979,3,4,9565499.04,147040.26,582452.41,726941.22,749890.83,875626.88,836559.07,725676.35,568274.18,538476.69,710050.12,675094.58,648317.55,451912.6,291584.45,362502.48,293512.56,200265.88,96468.87,84852.06,53320.91,31531.15,23218.63,8312.52,6864.88,1447.64
BLR,1980,3,4,9632741.93,153033.6,589568.48,729608.09,730703.12,850364.13,857148.87,741896.72,634553.25,484036.64,716577.24,650347.23,673833.18,493605.34,287718.85,350086.58,296248,206993.37,101456.21,84963.03,52083.68,32879.35,24175.94,8703.41,7027.89,1675.52
BLR,1981,3,4,9705948.09,156694.96,598456.94,729730.53,720742.63,822355.35,875860.46,764277.63,687200.5,450654.79,700356.98,646092.86,686676.33,534793.12,302405.64,325867.38,299772.8,211626.29,107695.73,84687.17,51267.32,33419.85,24511.6,8908.25,7068.09,1840.16
BLR,1982,3,4,9773550.58,158705.08,608766.85,728914,717239.34,792162.23,885740.53,786273.37,715986.06,458743.96,659539.73,654861.32,687925.4,569799.84,336580.43,294889.23,304533.9,214823.95,113175.93,84889.43,51255.7,33633.73,24371.99,9261.74,7277.08,1984.66
BLR,1983,3,4,9838005.81,165397.54,616316.1,730308.97,718997.82,764003.69,878601.15,812166.87,728718,502512.98,595186.82,667069.6,677792.98,596680.15,381360.2,274255.05,307061.72,217792.71,119195.76,84587.7,50898.68,33689.02,23983.98,9705.04,7561.31,2143.73
BLR,1984,3,4,9901171.53,169304.75,627872.44,734749.58,723110.86,742297.23,856926.71,837588.8,733905.32,562609.63,530640.73,689197.01,650850.33,622222.74,421551.07,261926.65,306440.52,220940.19,124724.01,84312.96,50967.63,33345.33,23253.45,10091.88,7857.03,2234.85
BLR,1985,3,4,9958857.13,166355.04,643661.02,741180.24,727120.91,727909.76,826529.25,857786.38,745566.21,626463.56,476760.31,695900.94,624960.59,646435.1,459555.02,258481.01,297254.88,224068.83,127162.06,85706.02,53226.03,32479.99,22122.73,10357.26,8086.87,2270.39
BLR,1986,3,4,10015429.59,167783.75,654145,749203.88,728180.37,717983.4,791673.04,870428.2,764914.29,678768.97,442360.76,679615.34,620719.41,657530.39,499526.91,270941.2,277475.58,227030.92,129176.01,87972.17,56408.78,31563.39,21254.25,10309.14,8000.19,2308.95
BLR,1987,3,4,10067376.56,165073.71,663393.69,758397.5,727950.45,710506.24,756956.76,872685.38,787449.1,708304,448172.57,640999.29,628666.76,658078.69,534766.03,301216.29,250173.62,232051.47,132637.64,89897.37,59076.51,30820.86,20748.72,10072.14,7738.72,2333.42
BLR,1988,3,4,10115253.82,162543.9,664578.76,775962.53,729658.93,708026.01,724559.27,868226.29,816950.37,723255.12,489520.12,577867.05,638819.97,645702.46,559139.82,339388.84,230429.27,233878.46,135178.16,91568.49,61769.65,29798.84,20015.81,9783.03,7451.78,2331.25
BLR,1989,3,4,10164406.92,159169.12,659378.05,796244.2,733953.03,713723.84,699471.86,850645.43,844310.88,730409.35,548758.53,513941.2,659180.56,616979.83,580516.79,374093.48,219431.74,232663.78,137515.92,94019.33,64591.52,29427.81,19927,9500.81,7176.03,2324.78
BLR,1990,3,4,10190210.66,147518.47,653641.56,809472.75,739838.12,723589.11,681902.04,817924.68,861401.42,739830,611105.74,461913.02,664456.02,590622.33,599716.75,407868.76,216132.7,225972.37,140814.42,96490.4,66166.02,30324.38,21137.04,9187.34,6924.49,2262.85
BLR,1991,3,4,10196048.8,136367.25,636009.67,822475.39,747954.88,725456.6,672578.34,782612.46,872436.23,757498.96,661434.74,427804.39,646461.42,583944.94,605135.56,441858.04,225365.83,209261.79,143471.23,97921.08,66899.23,31021.85,22366.11,8655.74,6587.95,2067.79
BLR,1992,3,4,10216871.2,128773.15,609285.55,833742.2,759598.34,724564.72,675925.86,751234.22,875669.88,780837.2,692182.71,432864.84,608926.98,589015.05,601892.81,471641.22,249315.17,186771.31,145397.04,99232.95,68097.61,31135.34,23065.87,8069.47,6268.59,1800.88
BLR,1993,3,4,10238219.3,121298.56,576366.21,835372.63,779745.45,728171.93,686843.7,721846.98,868689.17,810181.17,708731.22,473400.24,549551.53,597632.83,589408.85,491930.24,281420.63,171879.77,146316.45,99431.74,68379.85,31051.89,23626.34,7425.55,5875.97,1549.58
BLR,1994,3,4,10223990.81,112249.49,536513.73,826527.38,800425.87,734541.31,697290.29,694468.4,847959.89,835769.95,715524.92,530412.32,488580.05,615378.71,562053.89,509139.49,310212.1,163737.96,144410.52,98794.54,68025.76,30768.78,23815.06,6953.72,5601.74,1351.98
BLR,1995,3,4,10187814.01,103900.36,498207.96,808234.35,813632.09,740925.52,708619.16,674914.43,815529.1,852800.23,724800.43,590737.37,438835.65,619277.9,536498.11,524672.3,337933.85,161449.64,138136.19,98709.37,68363.31,30346.06,23416.96,6929.1,5768.8,1160.3
BLR,1996,3,4,10153460.94,96732.59,464161.05,777412.31,826483.2,748482.06,716589.55,667636.54,780420.02,864237.54,742905.33,639930.54,406475.33,602489.88,529940.57,528417.76,366320.52,169006.18,127246.99,98572.98,68741.27,29831.71,22941.37,6890.34,5896.39,993.95
BLR,1997,3,4,10112487.49,91142.12,431662.67,739708.85,835898.51,758634.21,717843.03,671397.4,746373.94,865154.67,763877.17,668059.01,410396.28,566108.31,533485.93,523496.07,390066.94,186395.92,114903.44,97883.02,68657.29,29225.73,22606.84,6618.89,5720.67,898.22
BLR,1998,3,4,10070230.9,90077.65,401335.15,691796.09,833380.35,776340.75,713747.77,682015.45,718572.9,853653.98,791051.32,681960.98,449190.89,512122.25,544681.31,510860.88,407257.47,209816.24,105665.43,96704.04,68266.69,28437.35,22079.44,6357.91,5531.04,826.87
BLR,1999,3,4,10028365.04,92138.3,379599.06,640075.85,821656.27,793849.3,713145.29,690624.53,698626.74,832247.22,816142.03,688349.91,505868.23,456935.87,565513.12,486396.63,421104.5,230549.88,100944.48,94597.83,66853.77,27744.06,21490.93,6253.13,5411.33,841.8
BLR,2000,3,4,9981423.79,92626.71,368319.33,597362.23,802273.73,803347.92,719928.42,692477.87,686531.52,802487.91,833577.2,698101.96,565370.81,409660.37,568891.3,465475.65,431776.89,250852.14,101027.43,91334.4,63698.69,27635.71,21437.01,6198.7,5263.56,935.14
BLR,2001,3,4,9931351.42,92008.29,364268.58,558076.9,769259.83,813883.03,726807.7,691552.57,681441.85,768538.66,845164.57,716271.07,612521.55,379181.57,552700.81,461333.69,434022.62,270970.29,107020.3,86327.54,58680.58,27646.96,21577.06,6069.9,5078.4,991.5
BLR,2002,3,4,9869619.24,89644.68,364837.18,521210.42,729318.07,821730.53,733617.07,689864.45,679775.39,736602.82,845355.15,736747.9,638736.67,383296.25,518016.67,466395.92,429658.15,286487.94,118347.35,79976.63,52796.32,27180.31,21389.75,5790.56,4832.94,957.62
BLR,2003,3,4,9799780.61,88138.91,363796.98,491249.92,686905.22,817178.89,745586.09,690788.33,678952.2,708403.98,833421.95,763041.99,650851.42,419550.92,464134.73,474583.67,416173.34,299075.46,132629.33,75317.28,48756.22,26561.06,21174.92,5386.14,4520.38,865.76
BLR,2004,3,4,9733605.09,88146.09,359497.62,471339.98,641408.74,803657.16,760241.17,694670.75,678364.08,685857.93,811245.51,786966.48,655792.95,472342.21,410571.98,489909.28,392924.66,310412.74,146739.08,73516.68,47598.65,25918.03,20817.24,5100.79,4311.55,789.24
BLR,2005,3,4,9667455.69,89197.28,354831.62,458962.58,598604.22,783340.74,770660.22,698722.56,678280.48,671817.99,780946.59,801644.03,664245.63,527693.92,367734.78,492612.47,376491.74,318312.27,159826.43,73530.14,48604.46,24925.68,19925.04,5000.64,4256.82,743.82
BLR,2006,3,4,9608126.06,92898.24,352321.14,453256.07,559225.76,752777.09,780829.89,704010.88,676140.16,665573.15,746942.98,811420.35,680115.91,571354.32,340715.4,478650.41,374454.21,319823.11,172252.08,75364.91,52016.67,23348.24,18431.03,4917.21,4207.4,709.81
BLR,2007,3,4,9565152.36,99237.58,355256.05,451168.61,522486.79,719218.9,788267.77,710909.03,673701.16,663619.93,715382.42,811915.74,698727.68,596366.4,346605.2,449803.54,381277.55,317628.07,183552.79,80027.15,58331.58,21695.57,16865.93,4829.64,4163.61,666.03
BLR,2008,3,4,9531465.1,104524.1,365254.91,448351.45,492093.37,686076.31,786185.01,723670.94,674029.67,662431.5,688159.78,800935.25,723641.08,608708.68,381706.84,404376.06,391331.89,309526.36,193249.93,87211.97,66423.28,20788.69,15998.9,4789.79,4171.74,618.05
BLR,2009,3,4,9509440.69,107643.69,381845.6,443965.25,471417.94,647685.23,779654.26,740698.94,678414.95,662415.48,666998.08,781097.35,747621.12,614165.96,431016.05,358806.1,406088.63,293572.37,201142.22,95191.47,74374.31,20817.16,16076.44,4740.72,4151.46,589.26
BLR,2010,3,4,9494017.72,108334.42,401102.6,441160.14,458649.08,606978.6,769515.5,754950.98,684502.32,664000.92,654593.31,754472.68,763920.23,623187.39,482237.29,322225.07,409830.01,283172.52,208279.53,102905.13,81525.08,21380.05,16798.88,4581.17,4021.15,560.02
