country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
BLR,1978,1,belarus,1,185,81,7,6,0,0,0,3,8,7,19,9,20,20,56,73,72,101,135,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,186,0,0,0,0,0,0,3,8,17,25,37,39,40,66,49,31,50,34,49,.,.,.,.,.,.
BLR,1978,1,belarus,1,187,0,0,0,0,0,5,14,28,66,105,159,223,302,282,300,207,285,203,147,.,.,.,.,.,.
BLR,1978,1,belarus,1,188,0,0,0,0,2,0,3,4,14,9,3,12,13,19,16,21,67,68,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,189,0,0,0,0,0,0,0,0,0,3,6,16,27,75,32,83,134,237,49,.,.,.,.,.,.
BLR,1978,1,belarus,1,190,0,0,0,0,0,0,0,0,0,0,3,4,7,28,8,21,34,68,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,192,0,0,0,0,4,10,17,16,52,68,82,27,40,19,65,72,117,135,98,.,.,.,.,.,.
BLR,1978,1,belarus,1,193,54,0,0,3,2,2,6,8,24,34,18,31,27,85,106,83,84,101,147,.,.,.,.,.,.
BLR,1978,1,belarus,1,194,27,0,3,0,0,0,0,0,7,9,6,12,13,0,24,21,17,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,195,0,0,0,3,2,0,3,4,0,6,6,8,13,0,8,10,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,196,0,0,0,0,0,0,0,0,0,3,3,4,7,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,197,0,0,0,0,2,0,0,0,3,6,0,4,0,9,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,198,0,0,0,0,0,0,0,0,0,3,3,4,7,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,199,0,0,0,0,4,2,6,4,7,12,12,16,20,19,8,21,17,68,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,200,0,0,3,5,7,15,20,20,31,37,52,63,80,85,49,72,50,135,98,.,.,.,.,.,.
BLR,1978,1,belarus,1,201,0,0,0,0,0,2,3,0,3,3,3,4,7,9,8,10,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,203,0,0,0,3,2,2,3,8,7,15,15,20,34,75,57,135,117,101,49,.,.,.,.,.,.
